Folder Foto Tanaman https://drive.google.com/drive/folders/1xuIrua6khL1btxkMDoHzMf02LAqRrNAs?usp=sharing,,,,,,
"Anggit: peat, loam;    Novi: clay, silt;    Rhazes: sand, chalk",,,,,,
No,Tanaman,Foto,Deskripsi,Nama Latin,Tanah,Sumber Deskripsi
109,Eceng Gondok,TRUE,"Eceng gondok adalah salah satu jenis tumbuhan air mengapung. Selain dikenal dengan nama eceng gondok, di beberapa daerah di Indonesia, eceng gondok mempunyai nama lain seperti di daerah Palembang dikenal dengan nama Kelipuk, di Lampung dikenal dengan nama Ringgak, di Dayak dikenal dengan nama Ilung-ilung, di Manado dikenal dengan nama Tumpe. Eceng gondok memiliki kecepatan tumbuh yang tinggi sehingga tumbuhan ini dianggap sebagai gulma yang dapat merusak lingkungan perairan. Eceng gondok dengan mudah menyebar melalui saluran air ke badan air lainnya.",Pontederia crassipes,Silt,https://id.wikipedia.org/wiki/Eceng_gondok
110,Kangkung,TRUE,"Kangkung adalah tumbuhan yang termasuk jenis sayur-sayuran dan ditanam sebagai makanan. Kangkung banyak terdapat di kawasan Asia, dan merupakan tumbuhan yang dapat dijumpai hampir di mana-mana terutama di kawasan berair. Ada dua jenis penanaman diusahakan: kering dan basah. Dalam keduanya, sejumlah besar bahan organik (kompos) dan air diperlukan agar tanaman ini dapat tumbuh dengan subur. Dalam penanaman kering, kangkung ditanam pada jarak 5 inci pada batas dan ditunjang dengan kayu sangga. Kangkung dapat ditanam dari biji benih atau keratan akar. Ia sering ditanam pada semaian sebelum dipindahkan di kebun. Daun kangkung dapat dipanen setelah 6 minggu ia ditanam.",Ipomoea aquatica,Silt,https://id.wikipedia.org/wiki/Kangkung
111,Mawar,TRUE,"Tumbuhan perdu, pohonnya berduri, bunganya berbau wangi dan berwarna indah, terdiri atas daun bunga yang bersusun. Mawar tumbuh subur di daerah beriklim sedang walaupun beberapa kultivar yang merupakan hasil metode penyambungan (grafting) dapat tumbuh di daerah beriklim subtropis hingga daerah beriklim tropis. Mawar dapat bermanfaat untuk antidepresan, antiviral, antibakteri, antiperadangan, dan sumber vitamin C.",Rosa,Silt,https://id.wikipedia.org/wiki/Mawar
112,Hosta,TRUE,"Hosta adalah genus dari sekitar 23–40 spesies tanaman yang mirip dengan lili dan merupakan tanaman asli wilayah Asia Timur Laut. Hosta biasanya membutuhkan naungan dan tumbuh subur di tanah lembap, sehingga menjadi pilihan untuk tanah berlumpur. Umumnya ditanam untuk diambil dedaunannya, tersedia lebih dari 40 varietas. Hosta bersifat abadi, atau kuat, di zona tahan banting.",Hosta,Silt,https://www.hunker.com/13406965/types-of-plants-grown-in-silty-soil
113,Albizia,TRUE,"Albizia adalah genus dari sekitar 150 spesies pohon dan semak yang kebanyakan tumbuh cepat subtropis dan tropis di subfamili Mimosoideae dari famili Fabaceae. Genus ini pantropis, terjadi di Asia, Afrika, Madagaskar, Amerika dan Australia, tetapi kebanyakan di daerah tropis. Di beberapa lokasi, beberapa spesies dianggap rumput liar.",Albizia julibrissin,Silt,https://id.wikipedia.org/wiki/Albizia
114,Sawi,TRUE,"Sawi adalah sekelompok tumbuhan dari genus Brassica yang dimanfaatkan daun atau bunganya sebagai bahan pangan (sayuran), baik segar maupun diolah. Di Indonesia penyebutan sawi biasanya mengacu pada sawi hijau (Brassica rapa kelompok parachinensis, yang disebut juga sawi bakso, caisim, atau caisin). Selain itu, terdapat pula sawi putih (Brassica rapa kelompok pekinensis, disebut juga petsai) yang biasa dibuat sup atau diolah menjadi asinan. Jenis lain yang kadang-kadang disebut sebagai sawi hijau adalah sesawi sayur (untuk membedakannya dengan caisim). Sawi sendok (pakcoy atau bok choy) merupakan jenis sayuran daun kerabat sawi yang mulai dikenal pula dalam dunia boga Indonesia.Jenis sawi sendok ini lebih cocok untuk ditumis.",Brassica chinensis var. parachinensis,Silt,https://id.wikipedia.org/wiki/Sawi
115,Bayam,TRUE,Bayam adalah tumbuhan yang biasa ditanam untuk dikonsumsi daunnya sebagai sayuran hijau. Tumbuhan ini berasal dari Amerika tropik namun sekarang tersebar ke seluruh dunia. Tumbuhan ini dikenal sebagai sayuran sumber zat besi yang penting bagi tubuh. Bayam relatif tahan terhadap pencahayaan langsung karena merupakan tumbuhan C4. Bayam sebagai sayur hanya umum dikenal di Asia Timur dan Asia Tenggara,Amaranthus,Silt,https://id.wikipedia.org/wiki/Bayam
116,Kedelai,TRUE,"Kedelai, atau kacang kedelai, adalah salah satu tanaman jenis polong-polongan yang menjadi bahan dasar banyak makanan dari Asia Timur seperti susu, kecap, tahu, dan tempe. Kedelai merupakan sumber utama protein nabati dan minyak nabati dunia. Penghasil kedelai utama dunia adalah Amerika Serikat meskipun kedelai praktis baru dibudidayakan masyarakat di luar Asia setelah 1910. Kedelai merupakan tumbuhan serbaguna. Karena akarnya memiliki bintil pengikat nitrogen bebas, kedelai merupakan tanaman dengan kadar protein tinggi sehingga tanamannya digunakan sebagai pupuk hijau dan pakan ternak.",Glycine Max,Silt,https://id.wikipedia.org/wiki/Kedelai
117,Pisang,TRUE,"Pisang dapat tumbuh subur di wilayah dengan musim kemarau yang berlangsung hingga 4,5 bulan. Curah hujan yang diperlukan oleh pisang untuk tumbuh dengan subur adalah 650 hingga 5.000 mililiter per tahun. Pisang dapat dipanen kapan saja, karena pertumbuhannya yang sesuai dengan segala jenis musim. Kematian pohon pisang hanya terjadi ketika berbuah hanya sekali semasa hidupnya. Buah pisang dapat langsung dimakan atau dimasak terlebih dahulu. Nutrisi di dalam pisang bermanfaat bagi kesehatan tubuh manusia dan dapat pula dibuat sebagai obat tradisional.",Musa,Silt,https://id.wikipedia.org/wiki/Pisang
118,Rambutan,TRUE,"Rambutan merupakan tanaman tropis yang termasuk ke dalam suku lerak-lerakan atau Sapindaceae, berasal dari daerah kepulauan di Asia Tenggara. Rambutan banyak terdapat di daerah tropis seperti Afrika, Kamboja, Karibia, Amerika Tengah, India, Indonesia, Malaysia, Filipina, Thailand, dan Sri Lanka. Tumbuhan ini menghasilkan bunga setelah tujuh tahun jika ditanam dari biji, tetapi pada usia 2 tahun sudah dapat berbunga jika diperbanyak secara vegetatif.",Nephelium lappaceum,Silt,https://id.wikipedia.org/wiki/Rambutan
119,Bunga Melati,TRUE,"Melati merupakan tanaman bunga hias berupa perdu berbatang tegak yang hidup menahun. Melati merupakan genus dari semak dan tanaman merambat dalam keluarga zaitun. Bunga melati bermanfaat untuk bunga tabur, bahan industri minyak wangi, kosmetika, parfum, farmasi, penghias rangkaian bunga dan bahan campuran atau pengharum teh, seperti teh melati yang populer di Indonesia.",Jasminum,Silt,https://id.wikipedia.org/wiki/Melati
120,Mangga,TRUE,"Mangga berasal dari daerah di sekitar perbatasan India dengan Burma, dan mangga telah menyebar ke Asia Tenggara sekitar 1500 tahun yang silam. Buah ini dikenal pula dalam berbagai bahasa daerah, seperti pelem atau poh. Buah mangga pada dasarnya merupakan golongan buah rendah kalori. Dalam satu buah mangga hanya terkandung sekitar 100–110 kalori. Kendati demikian, buah ini kaya akan antioksidan (polifenol dan beta karoten) dan sejumlah nutrisi lain yang bermanfaat bagi kesehatan.",Mangifera indica,Silt,https://id.wikipedia.org/wiki/Mangga
121,Ubi Jalar,TRUE,"Ubi jalar, ubi rambat, ubi manis, ubi jawa, ubi jenderal, petatas, ketela , atau ketela rambat (Ipomoea batatas) adalah sejenis tanaman budidaya. Bagian yang dimanfaatkan adalah akarnya yang membentuk umbi dengan kadar gizi (karbohidrat) yang tinggi. Di Asia, selain dimanfaatkan umbinya, daun muda ubi jalar juga dibuat sayuran. Terdapat pula ubi jalar yang dijadikan tanaman hias karena keindahan daunnya. Ubi jalar dapat dibudidayakan melalui stolon/batang rambatnya. cara menanamnya cukup mudah, dengan mencangkul lahan yang mau ditanami sehingga stolon/batang rambat ubi jalar mudah dimasukkan dalam tanah.",Ipomoea batatas,Silt,https://id.wikipedia.org/wiki/Ubi_jalar
